"Département","Circonscription","Première place","Seconde place","Troisième place","Quatrième place"
"Ain","1ère circonscription de l'Ain","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Christophe MAÎTRE (39.37%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Xavier BRETON (23.96%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Sébastien GUERAUD (23.45%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Ain","2e circonscription de l'Ain","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Andréa KOTARAC (39.2%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Romain DAUBIÉ (24.21%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Maxime MEYER (23.61%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Ain","3e circonscription de l'Ain","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Olga GIVERNET (32.43%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Karine DUBARRY (32.11%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Christian JOLIE (25.12%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Ain","4e circonscription de l'Ain","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Jérôme BUISSON (46.01%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Christophe COQUELET (21.87%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Charline LIOTIER (19.96%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Allier","2e circonscription de l'Allier","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Jorys BOVET (34.33%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Louise HERITIER (24.06%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Romain LEFEBVRE (19.67%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Allier","3e circonscription de l'Allier","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Nicolas RAY (40.05%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Rémy QUENEY (37.82%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Aline JEUDI (20.4%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Alpes-de-Haute-Provence","1ère circonscription des Alpes-de-Haute-Provence","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Christian GIRARD (44.3%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Felix BLANC (27.26%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Benoit GAUVAN (19.35%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Alpes-de-Haute-Provence","2e circonscription des Alpes-de-Haute-Provence","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Sophie VAGINAY (40.89%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Léo WALTER (32.99%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Parti-radical</span> <s>Dominique BLANC (22.69%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Hautes-Alpes","1ère circonscription des Hautes-Alpes","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Jérôme SAINTE-MARIE (38.24%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Marie-José ALLEMAND (30.47%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Pascale BOYER (22.58%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Hautes-Alpes","2e circonscription des Hautes-Alpes","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Louis ALBRAND (33.88%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Valérie ROSSI (32.7%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Parti-radical</span> <s>Sébastien FINE (26.7%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Alpes-Maritimes","1ère circonscription des Alpes-Maritimes","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Eric CIOTTI (41.04%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Olivier SALERNO (26.62%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Graig MONETTI (22.79%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Alpes-Maritimes","3e circonscription des Alpes-Maritimes","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Bernard CHAIX (41.47%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Laure QUIGNARD (27.24%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> <s>Philippe PRADAL (25.36%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Ardèche","3e circonscription de l'Ardèche","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Cyrille GRANGIER (31.95%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Florence PALLOT (28.31%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>DVD</span> Fabrice BRUN (26.48%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Aude","2e circonscription de l'Aude","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Frédéric FALCON (48.12%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Viviane THIVENT (26.02%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Christine BREYTON (19.32%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Aveyron","1ère circonscription de l'Aveyron","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Stéphane MAZARS (43.58%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Jean-Philippe CHARTIER (31.48%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Léon THEBAULT (22.74%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Aveyron","2e circonscription de l'Aveyron","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Marie-Christine PAROLIN (33.11%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Laurent ALEXANDRE (32.73%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Parti-radical</span> <s>Samuel DEGUARA (30.55%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Aveyron","3e circonscription de l'Aveyron","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Pierre-Antoine FEVRE (35.46%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Jean-François ROUSSET (32.45%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Richard BOUIGUE (28.81%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Bouches-du-Rhône","1ère circonscription des Bouches-du-Rhône","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Monique GRISETI (45.54%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Pascaline LÉCORCHÉ (26.9%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Sabrina AGRESTI-ROUBACHE (23.61%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Bouches-du-Rhône","2e circonscription des Bouches-du-Rhône","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Olivier RIOULT (32.06%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Laurent LHARDIT (28.49%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Claire PITOLLAT (27.01%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Bouches-du-Rhône","5e circonscription des Bouches-du-Rhône","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Franck LIQUORI (25.77%)</p>","<p style='margin:4px;'><span style='background-color:#777F7F; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>DVG</span> Hendrik DAVI (24.44%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Allan POPELARD (23.32%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Bouches-du-Rhône","6e circonscription des Bouches-du-Rhône","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Olivier FAYSSAT (38.27%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Christine JUSTE (28.22%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Lionel ROYER-PERREAUT (25.13%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Bouches-du-Rhône","8e circonscription des Bouches-du-Rhône","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Romain TONUSSI (44.63%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Jean-Marc ZULESI (26.73%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Alexandre BEDDOCK (20.07%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Bouches-du-Rhône","10e circonscription des Bouches-du-Rhône","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> José GONZALEZ (48.83%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Véronique BOURCET-GINER (21.54%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Jimmy BESSAIH (20.8%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Bouches-du-Rhône","11e circonscription des Bouches-du-Rhône","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Hervé FABRE-AUBRESPY (38.87%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Marc PENA (27.54%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> <s>Mohamed LAQHILA (26.28%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Bouches-du-Rhône","14e circonscription des Bouches-du-Rhône","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Gérault VERNY (31.65%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Jean-David CIOT (29.48%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Anne-Laurence PETEL (28.91%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Calvados","1ère circonscription du Calvados","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>DVD</span> Joël BRUNEAU (43.11%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Emma FOURREAU (34.82%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> <s>Ludivine DAOUDI (19.95%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Calvados","4e circonscription du Calvados","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Chantal HENRY (33.65%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Christophe BLANCHET (32.8%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PCF</span> <s>Pierre MOURARET (19.78%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Calvados","5e circonscription du Calvados","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Philippe CHAPRON (31.86%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Bertrand BOUYX (24.59%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Thomas DUPONT-FEDERICI (24.46%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Calvados","6e circonscription du Calvados","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Nicolas CALBRIX (36.26%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Elisabeth BORNE (28.93%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Noé GAUCHARD (23.16%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Cantal","1ère circonscription du Cantal","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>DVD</span> Vincent DESCOEUR (37.66%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Dorothée GALLAIS (30.29%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Valérie RUEDA (22.43%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Charente","1ère circonscription de la Charente","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> René PILATO (32.8%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Thomas MESNIER (30.3%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Marion LATUS (30.26%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Charente","2e circonscription de la Charente","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Barthélemy MARTIN (38.91%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Sandra MARSAUD (27.39%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Carole BALLU (20.34%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Charente","3e circonscription de la Charente","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Caroline COLOMBIER (42.95%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Virginie LEBRAUD (25.88%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> <s>Gwenhaël FRANÇOIS (24.52%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Charente-Maritime","1ère circonscription de la Charente-Maritime","<p style='margin:4px;'><span style='background-color:#777F7F; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>DVG</span> Olivier FALORNI (45.64%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Jean-Marc SOUBESTE (29.64%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Emma CHAUVEAU (22.65%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Charente-Maritime","2e circonscription de la Charente-Maritime","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Karen BERTHOLOM (34.41%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Benoît BITEAU (26.94%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> <s>Anne-Laure BABAULT (25.33%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Charente-Maritime","3e circonscription de la Charente-Maritime","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Stéphane MORIN (40.85%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Fabrice BARUSSEAU (28.07%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Jean-Philippe ARDOUIN (27.88%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Charente-Maritime","5e circonscription de la Charente-Maritime","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Aymeric MONGELOUS (43.83%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Christophe PLASSARD (32.75%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Anne BRACHET (22.15%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Cher","1ère circonscription du Cher","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Ugo IANNUZZI (39.94%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> François CORMIER-BOULIGEON (33.01%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Hugo LEFELLE (25.22%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Cher","2e circonscription du Cher","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Bastian DUENAS (40.56%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PCF</span> Nicolas SANSU (29.68%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> <s>Gabriel BEHAGHEL (20.83%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Corrèze","1ère circonscription de la Corrèze","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> François HOLLANDE (37.63%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Maïtey POUGET (30.89%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Francis DUBOIS (28.64%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Corrèze","2e circonscription de la Corrèze","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Valéry ELOPHE (36.28%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Frédérique MEUNIER (35.04%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Amandine DEWAELE (26.63%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Côte-d'Or","1ère circonscription de la Côte-d'Or","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Océane GODARD (29.16%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Didier MARTIN (27.48%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Cyline HUMBLOT-CORNILLE (25.77%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Côte-d'Or","2e circonscription de la Côte-d'Or","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Tatiana GUYENOT (34.64%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Catherine HERVIEU (27.67%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Benoît BORDAT (24.65%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Côte-d'Or","3e circonscription de la Côte-d'Or","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Thierry COUDERT (35.44%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Pierre PRIBETICH (29.59%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Fadila KHATTABI (23.81%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
