,time,latitude,longitude,frpfire,fire_range
2205670,2022-07-21T00:00:00,28.75,247.05,3.5180155887487876,1-5
2221033,2022-07-21T00:00:00,28.35,343.35,5.471123707076313,5-10
2231190,2022-07-21T00:00:00,28.05,279.05,2.1372148795535573,1-5
2258608,2022-07-21T00:00:00,27.25,140.85,1.5787014020727543,1-5
2290165,2022-07-21T00:00:00,26.35,56.55,3.317299807779124,1-5
2333328,2022-07-21T00:00:00,25.15,52.85,1.005549466512818,1-5
2346094,2022-07-21T00:00:00,24.85,249.45,1.973095243781728,1-5
2353423,2022-07-21T00:00:00,24.65,262.35,7.267994436290004,5-10
2357023,2022-07-21T00:00:00,24.55,262.35,4.334391135469719,1-5
2499849,2022-07-21T00:00:00,20.55,144.95,1.8236140660890339,1-5
2506705,2022-07-21T00:00:00,20.35,110.55,2.663636352783951,1-5
2513904,2022-07-21T00:00:00,20.15,110.45,5.596676635985808,5-10
2660794,2022-07-21T00:00:00,16.05,39.45,3.4493274393005438,1-5
2664399,2022-07-21T00:00:00,15.95,39.95,5.578660072196104,5-10
2689601,2022-07-21T00:00:00,15.25,40.15,4.433200727503873,1-5
2693201,2022-07-21T00:00:00,15.15,40.15,5.852005125943009,5-10
2875750,2022-07-21T00:00:00,10.15,295.05,5.162590052177643,5-10
2891597,2022-07-21T00:00:00,9.65,79.75,1.0038604136575326,1-5
3215906,2022-07-21T00:00:00,0.65,110.65,1.1972569655876288,1-5
3398531,2022-07-21T00:00:00,-4.45,13.15,1.0460867350396494,1-5
3402132,2022-07-21T00:00:00,-4.55,13.25,1.2200591791339725,1-5
3463474,2022-07-21T00:00:00,-6.25,27.45,1.3036672954705644,1-5
3467077,2022-07-21T00:00:00,-6.35,27.75,1.2341346195946779,1-5
3467124,2022-07-21T00:00:00,-6.35,32.45,1.2614409740884476,1-5
3469958,2022-07-21T00:00:00,-6.35,315.85,1.1181529901984621,1-5
3470529,2022-07-21T00:00:00,-6.45,12.95,1.837126488931311,1-5
3470655,2022-07-21T00:00:00,-6.45,25.55,2.3131578853123784,1-5
3470676,2022-07-21T00:00:00,-6.45,27.65,1.323935929733981,1-5
3477862,2022-07-21T00:00:00,-6.65,26.25,6.068766909037878,5-10
3492128,2022-07-21T00:00:00,-7.05,12.85,1.2529957098120237,1-5
3499464,2022-07-21T00:00:00,-7.25,26.45,3.264657660456085,1-5
3512986,2022-07-21T00:00:00,-7.55,298.65,1.3878384294255843,1-5
3524646,2022-07-21T00:00:00,-7.95,24.65,3.190339334823559,1-5
3531144,2022-07-21T00:00:00,-8.05,314.45,1.0193433981643096,1-5
3541773,2022-07-21T00:00:00,-8.35,297.35,1.0362339267171556,1-5
3556961,2022-07-21T00:00:00,-8.85,16.15,1.0345448738618703,1-5
3560566,2022-07-21T00:00:00,-8.95,16.65,1.3244989473524091,1-5
3560609,2022-07-21T00:00:00,-8.95,20.95,1.306482383562705,1-5
3571360,2022-07-21T00:00:00,-9.25,16.05,2.827192970937351,1-5
3574965,2022-07-21T00:00:00,-9.35,16.55,3.4132943117211374,1-5
3575045,2022-07-21T00:00:00,-9.35,24.55,3.6804461716653316,1-5
3596588,2022-07-21T00:00:00,-9.95,18.85,1.0413010852830098,1-5
3600207,2022-07-21T00:00:00,-10.05,20.75,1.0322928033881578,1-5
3603757,2022-07-21T00:00:00,-10.15,15.75,1.1122413052049662,1-5
3607357,2022-07-21T00:00:00,-10.25,15.75,1.8903316538727788,1-5
3614548,2022-07-21T00:00:00,-10.45,14.85,1.057347087408214,1-5
3614551,2022-07-21T00:00:00,-10.45,15.15,2.9704809548273348,1-5
3621751,2022-07-21T00:00:00,-10.65,15.15,2.5214744041308226,1-5
3621802,2022-07-21T00:00:00,-10.65,20.25,1.1443333094553765,1-5
3646975,2022-07-21T00:00:00,-11.35,17.55,1.1415182213632349,1-5
3646978,2022-07-21T00:00:00,-11.35,17.85,1.1235016575735308,1-5
3673364,2022-07-21T00:00:00,-12.05,136.45,1.0686074397767786,1-5
3673365,2022-07-21T00:00:00,-12.05,136.55,6.345208559686137,5-10
3680565,2022-07-21T00:00:00,-12.25,136.55,1.1474299063567308,1-5
3684147,2022-07-21T00:00:00,-12.35,134.75,1.187967174883564,1-5
3687752,2022-07-21T00:00:00,-12.45,135.25,1.237231216496033,1-5
3689351,2022-07-21T00:00:00,-12.45,295.15,1.2552477802857371,1-5
3698507,2022-07-21T00:00:00,-12.75,130.75,2.6889721456132207,1-5
3715359,2022-07-21T00:00:00,-13.25,15.95,1.113648849251037,1-5
3723725,2022-07-21T00:00:00,-13.45,132.55,1.3661622511160978,1-5
3730912,2022-07-21T00:00:00,-13.65,131.25,4.56297628855158,1-5
3745339,2022-07-21T00:00:00,-14.05,133.95,1.2679156767003716,1-5
3745349,2022-07-21T00:00:00,-14.05,134.95,1.2073912827193372,1-5
3745355,2022-07-21T00:00:00,-14.05,135.55,1.8199544515692496,1-5
3748947,2022-07-21T00:00:00,-14.15,134.75,2.7427403281731166,1-5
3748948,2022-07-21T00:00:00,-14.15,134.85,1.5916508072966034,1-5
3748949,2022-07-21T00:00:00,-14.15,134.95,1.2256893553182548,1-5
