,time,latitude,longitude,frpfire,fire_range
10001064,2022-07-22T00:00:00,-7.85,26.45,1.4421696296039084,1-5
10001065,2022-07-22T00:00:00,-7.85,26.55,3.080832408039268,1-5
10001066,2022-07-22T00:00:00,-7.85,26.65,2.960628146504841,1-5
10004635,2022-07-22T00:00:00,-7.95,23.55,2.40014410735954,1-5
10004646,2022-07-22T00:00:00,-7.95,24.65,1.2034501593903393,1-5
10004650,2022-07-22T00:00:00,-7.95,25.05,2.028833988006123,1-5
10004663,2022-07-22T00:00:00,-7.95,26.35,1.9075036912348393,1-5
10004668,2022-07-22T00:00:00,-7.95,26.85,1.351805301846178,1-5
10008189,2022-07-22T00:00:00,-8.05,18.95,2.248692368002346,1-5
10008230,2022-07-22T00:00:00,-8.05,23.05,3.2308766033503913,1-5
10008291,2022-07-22T00:00:00,-8.05,29.15,2.1498827759681918,1-5
10015458,2022-07-22T00:00:00,-8.25,25.85,7.400585085429852,5-10
10015459,2022-07-22T00:00:00,-8.25,25.95,1.9953344397096435,1-5
10015484,2022-07-22T00:00:00,-8.25,28.45,1.200353562488985,1-5
10019056,2022-07-22T00:00:00,-8.35,25.65,8.498469441364898,5-10
10022598,2022-07-22T00:00:00,-8.45,19.85,1.9916748251898602,1-5
10029787,2022-07-22T00:00:00,-8.65,18.75,1.3039488042797789,1-5
10029791,2022-07-22T00:00:00,-8.65,19.15,1.1561566794423683,1-5
10029805,2022-07-22T00:00:00,-8.65,20.55,1.3078899276087759,1-5
10033438,2022-07-22T00:00:00,-8.75,23.85,1.0201879245919514,1-5
10036989,2022-07-22T00:00:00,-8.85,18.95,2.4316730939915203,1-5
10037039,2022-07-22T00:00:00,-8.85,23.95,3.434970490030624,1-5
10037046,2022-07-22T00:00:00,-8.85,24.65,7.001124085155023,5-10
10037098,2022-07-22T00:00:00,-8.85,29.85,1.4458292441236917,1-5
10039849,2022-07-22T00:00:00,-8.85,304.95,3.4746632321298137,1-5
10040644,2022-07-22T00:00:00,-8.95,24.45,11.216718503136386,10-50
10040645,2022-07-22T00:00:00,-8.95,24.55,11.13085831632608,10-50
10040651,2022-07-22T00:00:00,-8.95,25.15,1.2355421636407486,1-5
10040694,2022-07-22T00:00:00,-8.95,29.45,2.8353567264045605,1-5
10040695,2022-07-22T00:00:00,-8.95,29.55,1.0342633650526576,1-5
10044200,2022-07-22T00:00:00,-9.05,20.05,6.551836025649298,5-10
10044251,2022-07-22T00:00:00,-9.05,25.15,2.3978920368858265,1-5
10051427,2022-07-22T00:00:00,-9.25,22.75,1.1952864039231308,1-5
10051481,2022-07-22T00:00:00,-9.25,28.15,2.2056215201925866,1-5
10055045,2022-07-22T00:00:00,-9.35,24.55,11.360851013454013,10-50
10055064,2022-07-22T00:00:00,-9.35,26.45,1.6226167763101556,1-5
10055074,2022-07-22T00:00:00,-9.35,27.45,1.1381401156526643,1-5
10058664,2022-07-22T00:00:00,-9.45,26.45,1.1561566794423683,1-5
10058670,2022-07-22T00:00:00,-9.45,27.05,1.8233325572798194,1-5
10062284,2022-07-22T00:00:00,-9.55,28.45,1.1592532763437244,1-5
10065799,2022-07-22T00:00:00,-9.65,19.95,6.858962136501896,5-10
10069449,2022-07-22T00:00:00,-9.75,24.95,1.0916911621323369,1-5
10072987,2022-07-22T00:00:00,-9.85,18.75,1.0908466357046933,1-5
10072998,2022-07-22T00:00:00,-9.85,19.85,5.6543859418747004,5-10
10076673,2022-07-22T00:00:00,-9.95,27.35,1.3917795527545822,1-5
10076674,2022-07-22T00:00:00,-9.95,27.45,1.2743903793122966,1-5
10083801,2022-07-22T00:00:00,-10.15,20.15,2.0944255405530114,1-5
10083871,2022-07-22T00:00:00,-10.15,27.15,1.105203584974614,1-5
10094660,2022-07-22T00:00:00,-10.45,26.05,1.5696931201779023,1-5
10098167,2022-07-22T00:00:00,-10.55,16.75,2.092173470079299,1-5
10098244,2022-07-22T00:00:00,-10.55,24.45,1.2318825491209653,1-5
10098256,2022-07-22T00:00:00,-10.55,25.65,1.3974097289388645,1-5
10098268,2022-07-22T00:00:00,-10.55,26.85,1.8813233719779268,1-5
10101857,2022-07-22T00:00:00,-10.65,25.75,4.519060914314178,1-5
10101864,2022-07-22T00:00:00,-10.65,26.45,1.1736102256136434,1-5
10105464,2022-07-22T00:00:00,-10.75,26.45,1.260596447660805,1-5
10112654,2022-07-22T00:00:00,-10.95,25.45,1.057347087408214,1-5
10116212,2022-07-22T00:00:00,-11.05,21.25,1.1023884968824724,1-5
10116251,2022-07-22T00:00:00,-11.05,25.15,1.1043590585469722,1-5
10116267,2022-07-22T00:00:00,-11.05,26.75,1.760837601634286,1-5
10119863,2022-07-22T00:00:00,-11.15,26.35,1.5542101356711262,1-5
10123408,2022-07-22T00:00:00,-11.25,20.85,1.2316010403117508,1-5
10123477,2022-07-22T00:00:00,-11.25,27.75,1.0353894002895139,1-5
10129848,2022-07-22T00:00:00,-11.35,304.85,2.3187880614966607,1-5
10137854,2022-07-22T00:00:00,-11.65,25.45,1.031448276960516,1-5
10137859,2022-07-22T00:00:00,-11.65,25.95,1.131102395422312,1-5
10137877,2022-07-22T00:00:00,-11.65,27.75,1.11111526996811,1-5
10141471,2022-07-22T00:00:00,-11.75,27.15,1.4593416669659698,1-5
10141473,2022-07-22T00:00:00,-11.75,27.35,1.092254179750764,1-5
10147874,2022-07-22T00:00:00,-11.85,307.45,1.15700120587001,1-5
10152258,2022-07-22T00:00:00,-12.05,25.85,1.487774056696595,1-5
10155863,2022-07-22T00:00:00,-12.15,26.35,1.099291899981118,1-5
10155872,2022-07-22T00:00:00,-12.15,27.25,2.493323523209411,1-5
10155878,2022-07-22T00:00:00,-12.15,27.85,1.0677629133491369,1-5
10171315,2022-07-22T00:00:00,-12.55,131.55,1.1547491353962975,1-5
10172940,2022-07-22T00:00:00,-12.55,294.05,2.7939749314500855,1-5
10177414,2022-07-22T00:00:00,-12.75,21.45,1.1831815251269227,1-5
10177474,2022-07-22T00:00:00,-12.75,27.45,1.0874685299941245,1-5
10184674,2022-07-22T00:00:00,-12.95,27.45,1.1947233863047018,1-5
10184679,2022-07-22T00:00:00,-12.95,27.95,1.6949645402781837,1-5
10194746,2022-07-22T00:00:00,-13.15,314.65,1.3464566344711093,1-5
10202657,2022-07-22T00:00:00,-13.45,25.75,1.2971925928586394,1-5
10202677,2022-07-22T00:00:00,-13.45,27.75,3.6325896740989316,1-5
10209817,2022-07-22T00:00:00,-13.65,21.75,2.3007714977069575,1-5
10210912,2022-07-22T00:00:00,-13.65,131.25,1.1995090360613414,1-5
10213455,2022-07-22T00:00:00,-13.75,25.55,1.9809774904397237,1-5
10214517,2022-07-22T00:00:00,-13.75,131.75,1.020469433401166,1-5
10218109,2022-07-22T00:00:00,-13.85,130.95,2.0201072149204853,1-5
10227825,2022-07-22T00:00:00,-14.15,22.55,1.7138256304955286,1-5
10227866,2022-07-22T00:00:00,-14.15,26.65,1.09816586474426,1-5
10232641,2022-07-22T00:00:00,-14.25,144.15,2.05529581607225,1-5
10239845,2022-07-22T00:00:00,-14.45,144.55,1.5345045190261377,1-5
10250520,2022-07-22T00:00:00,-14.75,132.05,2.3131578853123784,1-5
10254119,2022-07-22T00:00:00,-14.85,131.95,1.637818252007718,1-5
10254120,2022-07-22T00:00:00,-14.85,132.05,1.6437299370012148,1-5
10257697,2022-07-22T00:00:00,-14.95,129.75,1.8103831520559703,1-5
10285477,2022-07-22T00:00:00,-15.75,27.75,1.2180886174694727,1-5
10291794,2022-07-22T00:00:00,-15.85,299.45,1.5708191554147586,1-5
10296253,2022-07-22T00:00:00,-16.05,25.35,1.6580868862711347,1-5
10325013,2022-07-22T00:00:00,-16.85,21.35,1.0511538936055036,1-5
10363898,2022-07-22T00:00:00,-17.85,309.85,4.767351684041027,1-5
10368241,2022-07-22T00:00:00,-18.05,24.15,1.1403921861263786,1-5
10422232,2022-07-22T00:00:00,-19.55,23.25,1.2442689367263862,1-5
10475424,2022-07-22T00:00:00,-20.95,302.45,1.7166407185876702,1-5
10477646,2022-07-22T00:00:00,-21.05,164.65,1.6420408841459295,1-5
10486193,2022-07-22T00:00:00,-21.25,299.35,1.6169866001258733,1-5
10495318,2022-07-22T00:00:00,-21.55,131.85,3.2046962840934787,1-5
10495319,2022-07-22T00:00:00,-21.55,131.95,2.1771891304619615,1-5
10547424,2022-07-22T00:00:00,-22.95,302.45,1.0587546314542848,1-5
10576188,2022-07-22T00:00:00,-23.75,298.85,1.3903720087085114,1-5
10621312,2022-07-22T00:00:00,-25.05,131.25,2.6580061765996685,1-5
10843500,2022-07-22T00:00:00,-31.25,30.05,1.9635239442684487,1-5
11004535,2022-07-22T00:00:00,-35.65,293.55,1.1927528246402037,1-5
