"code_entite","lat","long","surface_bv","type","date","nom_site","mesure_2024","moyenne_historique","rapport","rapport_categorie","colour_categ","rapport_label","popup_html"
"J5102210",47.9055807,-3.4191444,299.79,"site",2024-02-13,"Le Scorff à Plouay",19368.8571428571,11840.7857142857,63.5774652985141,"sup à 50%","#9ecae1","+63,6%","Débit moyen au 13 février 2024: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+63,6%</span> par rapport à la moyenne 1990-2020 à cette période."
"J5202110",48.3915174,-3.2508614,19.18,"site",2024-02-10,"Le Blavet à Kerien",699.714285714286,826.533333333333,-15.3434885811075,"inf à -15%","#fdbe85","-15,3%","Débit moyen au 10 février 2024: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-15,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"J5432110",48.1432725,-3.0053205,811.29,"site",2024-02-13,"Le Blavet à Neulliac",38728.4285714286,32531.6047619048,19.048626266296,"sup à 15%","#c6dbef","+19,0%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+19,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"J5613010",47.901055,-2.97465,315.23,"site",2024-02-13,"L'Evel à Guénin",13784.2857142857,9296.3619047619,48.27613054979,"sup à 15%","#c6dbef","+48,3%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+48,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"J5618310",47.9374376,-2.9527924,15.5,"site",2024-02-13,"Le Frémeur à Guénin",747.714285714286,622.480519480519,20.1185036823769,"sup à 15%","#c6dbef","+20,1%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+20,1%</span> par rapport à la moyenne 1990-2020 à cette période."
"J5704810",47.9055033,-3.2007639,45.5,"site",2024-02-13,"Le Moulin de Tallené [Le Sebrevet] à Quistinic",2958,2006.68571428571,47.4072386593391,"sup à 15%","#c6dbef","+47,4%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+47,4%</span> par rapport à la moyenne 1990-2020 à cette période."
"J5712110",47.8261626,-3.2483887,1996.7,"site",2024-02-13,"Le Blavet à Inzinzac-Lochrist et à Languidic",87302.5714285714,71527.0666666667,22.0552938867497,"sup à 15%","#c6dbef","+22,1%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+22,1%</span> par rapport à la moyenne 1990-2020 à cette période."
"J6213010",47.7223371,-2.9888288,183.6,"site",2024-02-13,"L'Auray [Le Loch] à Brech",11417.1428571429,6771.14285714286,68.6147094814133,"sup à 50%","#9ecae1","+68,6%","Débit moyen au 13 février 2024: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+68,6%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7000610",48.1865508,-1.0584064,56,"site",2024-02-13,"La Vilaine à Bourgon",1706.28571428571,1312.70952380952,29.9819711320461,"sup à 15%","#c6dbef","+30,0%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+30,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7010630",48.1431613,-1.1458387,127,"site",2024-02-13,"La Vilaine à Erbrée",3163.14285714286,2419.92857142857,30.7122406210339,"sup à 15%","#c6dbef","+30,7%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+30,7%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7024010",48.1089133,-1.1265349,30.8,"site",2024-02-13,"La Valière à Erbrée",1004.42857142857,648.542857142857,54.874664082118,"sup à 50%","#9ecae1","+54,9%","Débit moyen au 13 février 2024: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+54,9%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7024020",48.0767596,-1.165763,66.6,"site",2024-02-13,"La Valière à Vitré",2038.42857142857,717.219047619048,184.212832633983,"sup à 100%","#6baed6","+184,2%","Débit moyen au 13 février 2024: <span style='background: #6baed6; display: inline-block; padding: 2px; padding-bottom:0'>+184,2%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7060620",48.1080382,-1.4037982,567.3,"site",2024-02-13,"La Vilaine à Châteaubourg",14384.2857142857,10092.4142857143,42.5257159195941,"sup à 15%","#c6dbef","+42,5%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+42,5%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7083110",48.183122,-1.498539,151.29,"site",2024-02-13,"La Veuvre [Le Chevré] à la Bouëxière",4981.57142857143,3165.99047619048,57.3463807309229,"sup à 50%","#9ecae1","+57,3%","Débit moyen au 13 février 2024: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+57,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7090630",48.1236647,-1.5636784,898,"site",2024-02-13,"La Vilaine à Cesson-Sévigné et à Rennes",21033.5714285714,15507.2285714286,35.6372051375115,"sup à 15%","#c6dbef","+35,6%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+35,6%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7103010",48.2963077,-1.6725355,102.79,"site",2024-02-13,"L'Ille à Montreuil-sur-Ille",2150.14285714286,1908.13333333333,12.6830509997308,"0 et 15%","#eff3ff","+12,7%","Débit moyen au 13 février 2024: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+12,7%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7114010",48.2471942,-1.574946,111.46,"site",2024-02-13,"L'Illet à Chasné-sur-Illet",3096.14285714286,1970.54187192118,57.1213939303038,"sup à 50%","#9ecae1","+57,1%","Débit moyen au 13 février 2024: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+57,1%</span> par rapport à la moyenne 1990-2020 à cette période."
"J7214010",48.1808598,-1.7796925,91.71,"site",2024-02-13,"La Flume à Pacé",1860.85714285714,1643.78095238095,13.2059074027938,"0 et 15%","#eff3ff","+13,2%","Débit moyen au 13 février 2024: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+13,2%</span> par rapport à la moyenne 1990-2020 à cette période."
